Date,Count,Cumulative
23-Jan-2020,1,1
24-Jan-2020,2,3
25-Jan-2020,1,4
26-Jan-2020,0,4
27-Jan-2020,1,5
28-Jan-2020,2,7
29-Jan-2020,3,10
30-Jan-2020,3,13
31-Jan-2020,3,16
1-Feb-2020,2,18
2-Feb-2020,0,18
3-Feb-2020,0,18
4-Feb-2020,6,24
5-Feb-2020,4,28
6-Feb-2020,2,30
7-Feb-2020,3,33
8-Feb-2020,7,40
9-Feb-2020,3,43
10-Feb-2020,2,45
11-Feb-2020,2,47
12-Feb-2020,3,50
13-Feb-2020,8,58
14-Feb-2020,9,67
15-Feb-2020,5,72
16-Feb-2020,3,75
17-Feb-2020,2,77
18-Feb-2020,4,81
19-Feb-2020,3,84
20-Feb-2020,1,85
21-Feb-2020,1,86
22-Feb-2020,3,89
23-Feb-2020,0,89
24-Feb-2020,1,90
25-Feb-2020,1,91
26-Feb-2020,2,93
27-Feb-2020,3,96
28-Feb-2020,2,98
29-Feb-2020,4,102
1-Mar-2020,4,106
2-Mar-2020,2,108
3-Mar-2020,2,110
4-Mar-2020,2,112
5-Mar-2020,5,117
6-Mar-2020,13,130
7-Mar-2020,8,138